,age_h,age_mean_h,age_max_h,emb0,emb1,emb2,dist_src_km,dist_tank_km,path_len_km,path_mean_rough,path_min_rough,path_mean_diam_m,path_min_diam_m,path_sum_L_over_D,path_wall_index,elevation_m,demand_lps,degree,inc_vel_mean_ms,inc_vel_min_ms,inc_abs_flow_m3s,inc_frac_sloshing,pressure_mean_m,pressure_min_m
123,3.6533186435699463,3.2438900470733643,3.699814796447754,-3635.15378628763,33.63523483779823,-304.10968968218225,7.7459679999999995,1.9976592,7.744968,119.47264856355766,110.0,0.3991828414010232,0.2032,21999.166666666664,27425.240053849073,3.3528000000000002,0.0630901964,2.0,1.1814289093017578,0.8072198033332825,0.5387747883796692,0.0,46.8474235534668,45.11355209350586
125,104.35879516601562,42.77491760253906,111.35879516601562,-3257.0324951850002,670.2722470690221,-503.9534980256283,7.572232,1.2569952,7.571232,118.56682769726248,110.0,0.38515152979066025,0.2032,21864.166666666664,27424.896625298952,3.3528000000000002,2.87691295584,3.0,0.304190069437027,0.005537472199648619,0.06327306479215622,0.6666666666666666,46.218353271484375,44.804908752441406
127,104.35879516601562,55.62620162963867,112.35879516601562,-3409.2377632056064,2086.8103179889567,-1150.1280668760621,8.559784,0.2694432,8.558784,119.88603988603988,110.0,0.41231581196581196,0.2032,23309.166666666664,28869.896625298952,17.0688,1.1141728684240002,3.0,0.2683393061161041,0.02811010181903839,0.06509410589933395,0.6666666666666666,32.3796501159668,31.276792526245117
129,104.35879516601562,56.783634185791016,113.35879516601562,-3454.7340252360245,2494.4148374620777,-1345.381694712778,8.834104,0.5437632,8.833103999999999,120.200138026225,110.0,0.41844265010351966,0.2032,23759.166666666664,29319.896625298952,15.5448,0.0,3.0,0.14827395975589752,0.01330702193081379,0.009953300468623638,0.0,33.9018669128418,32.79973602294922
131,118.1588134765625,73.29121398925781,127.1588134765625,-3692.733410148429,4962.829342790574,-2107.64058147314,10.809207999999998,2.5188672000000003,10.808207999999999,121.99097574732095,110.0,0.41624196277495773,0.2032,28619.166666666664,34179.89662529895,1.8288000000000002,2.6971058961,1.0,0.022239012643694878,0.01330702193081379,0.0028847798239439726,0.0,47.6135139465332,46.51240539550781
139,104.35879516601562,55.80875015258789,113.35879516601562,-3603.850871149434,3753.478584659837,-1953.10848344533,9.672304,1.3819632000000002,9.671304,121.04947998739364,110.0,0.3997878348566026,0.2032,27884.166666666664,33444.89662529895,9.4488,0.371601256796,2.0,0.3653009533882141,0.16214831173419952,0.011846441775560379,0.0,39.21339797973633,37.84026336669922
141,61.2912483215332,51.76017379760742,113.35879516601562,-3531.9701394572157,4494.463312456402,-2523.7791298254547,10.260568,2.0068032000000002,10.259568,121.56268568033273,110.0,0.35984087938205583,0.2032,30459.166666666668,36019.896625298956,1.2192,0.62143843454,3.0,0.34777188301086426,0.0077196285128593445,0.013403632678091526,0.3333333333333333,46.89175033569336,44.84113693237305
143,61.3559684753418,39.64202117919922,113.35879516601562,-3593.007063505733,5099.307045011313,-2806.180454603985,10.687287999999999,2.4335232000000007,10.686288,121.8996006845408,110.0,0.35358596691386196,0.2032,32559.166666666668,38119.896625298956,-1.3716000000000002,0.39115921768,2.0,0.5203791856765747,4.6185197333237227e-10,0.01687551662325859,0.0,48.33878707885742,44.135807037353516
145,7.389752388000488,31.418899536132812,113.35879516601562,-2820.931129011944,3626.5077123555666,-1579.5569464827856,9.190719999999999,3.0766512,9.18972,120.5804311774461,110.0,0.36624862354892207,0.2032,26949.166666666668,32509.896625298952,0.3048,1.743182126532,2.0,0.16129976511001587,0.035808563232421875,0.011769373901188374,1.0,47.912418365478516,46.1259765625
147,6.818861961364746,17.45218849182129,112.35879516601562,-2724.9336857842145,2548.1094109106384,-1017.7523067813905,8.52016,3.5826192000000003,8.51916,119.83899821109124,110.0,0.371085366726297,0.2032,24749.166666666668,30309.896625298952,5.638800000000001,0.5394211792200001,2.0,0.1665201485157013,0.028711481019854546,0.012150282971560955,1.0,42.66859817504883,41.07294845581055
149,6.604938507080078,14.308876037597656,93.88228607177734,-2696.4627275189973,2148.052947397254,-835.4121115152652,8.251935999999999,3.3143952000000003,8.250936,119.50868119689693,110.0,0.3719265607683783,0.2032,24044.166666666664,29604.896625298952,4.8768,1.7078516165480002,2.0,0.28138822317123413,0.010673295706510544,0.01252529677003622,0.5,43.469696044921875,41.95371627807617
151,6.519171714782715,27.73146629333496,97.6789779663086,-2672.108975886419,1722.7904350100678,-671.3477570482072,7.94104,3.0034992000000003,7.94004,119.0978886756238,110.0,0.3785331285988484,0.2032,22514.166666666664,28074.896625298952,10.2108,9.115271575872,3.0,0.231558695435524,0.010673295706510544,0.01155825424939394,0.0,38.544498443603516,37.287540435791016
153,104.35879516601562,43.82757568359375,112.35879516601562,-2878.0249553205836,1904.0008699054783,-816.4845909012706,8.297656000000002,2.6468832000000004,8.296656,119.56649522409991,110.0,0.37667024246877295,0.2032,23509.166666666668,29069.896625298952,20.177760000000003,2.786693974988,2.0,0.19261305034160614,0.05578500032424927,0.008075529709458351,0.0,28.591890335083008,27.332260131835938
157,4.5589280128479,8.117655754089355,24.831905364990234,-1900.8291751867864,70.42901665734985,-443.3267219836625,7.520416,2.7840432,7.5194160000000005,119.4154843940008,110.0,0.4212055127685448,0.2032,19886.166666666664,25260.172846221787,3.99288,3.267441271556,2.0,0.9214639663696289,0.8345062732696533,0.4202212691307068,0.0,44.48689270019531,43.01956558227539
159,4.597848415374756,9.16125774383545,25.07024574279785,-944.3403611232712,-220.38896448159738,-714.6680022685257,8.407384,2.3667720000000005,8.406384,121.69289340101523,110.0,0.4584525018129079,0.2032,20875.166666666664,25987.93909760902,1.8288000000000002,2.6068869152480003,2.0,0.9145752191543579,0.8290185332298279,0.41707971692085266,0.0,45.9044075012207,44.516380310058594
161,4.79595422744751,9.22732925415039,23.309106826782227,-314.05848175890276,-224.32645701926086,-165.70211429413737,8.072104,1.7571720000000002,8.071104,119.27492447129907,110.0,0.36254471299093655,0.2032,24871.666666666664,30432.396625298956,1.2192,0.9968251031200002,3.0,0.7019973397254944,0.08609170466661453,0.27949631214141846,0.3333333333333333,46.00728988647461,44.54134750366211
163,4.859567642211914,9.151083946228027,23.61190414428711,-172.83435674494245,-264.674430510821,-203.56907176054628,8.203168,1.626108,8.202168,119.6220735785953,110.0,0.368927684875511,0.2032,25043.666666666664,30565.79507481666,1.524,0.5943096500880001,3.0,0.6044355034828186,0.0010570656741037965,0.2754346430301666,0.0,45.59461975097656,44.11302185058594
164,11.280923843383789,13.287959098815918,28.66297721862793,-155.84762268224912,-242.18214275229334,-192.77835682738655,8.248887999999999,1.671828,8.247888,119.67960088691795,110.0,0.36885380635624543,0.2032,25172.23809523809,30694.366503388086,1.524,0.0,2.0,0.001766593661159277,0.0010570656741037965,0.00017544860020279884,0.0,45.59461975097656,44.11302185058594
166,34.934757232666016,36.86114501953125,52.463558197021484,-100.35762474411445,-168.707336074421,-157.5286880457304,8.39824,1.8211800000000002,8.39724,119.86315789473682,110.0,0.3686180762250454,0.2032,25592.23809523809,31114.366503388086,-0.6096,0.16403451064000002,1.0,0.001766593661159277,0.0010570657905191183,0.00017544860020279884,0.0,47.728214263916016,46.246612548828125
167,5.22489595413208,8.993542671203613,25.788105010986328,404.93835234339247,-324.2096582572429,36.89695469014821,8.297656,1.0988040000000001,8.296656,119.80492285084493,110.0,0.37334827332843495,0.2032,24927.666666666664,30435.431707195334,-1.524,0.9185932595840001,1.0,0.03029708005487919,0.01812867820262909,0.0009825121378526092,0.0,48.19453430175781,46.65861892700195
169,5.0556535720825195,8.927848815917969,25.388431549072266,396.59008311975117,-331.57181817158545,31.574209624149383,8.279367999999998,1.080516,8.278368,119.7824005891016,110.0,0.3737241531664212,0.2032,24837.666666666664,30345.431707195334,-1.524,0.0,4.0,0.5120335817337036,0.01812867820262909,0.20663982629776,0.0,48.194698333740234,46.658966064453125
171,5.1860785484313965,8.9631929397583,25.71285629272461,810.9514049750702,-442.5845736387535,-54.843418482794085,8.666463999999998,0.7220712000000001,8.665464,120.7302145620823,110.0,0.39106887091100956,0.2032,25345.666666666664,30739.422476701104,-1.2192,2.481968326376,3.0,0.6104223132133484,0.15970677137374878,0.26196324825286865,0.0,47.5975227355957,46.06840133666992
173,5.192093849182129,8.967580795288086,25.71896743774414,827.1926679334455,-446.87419526981364,-58.57439087074966,8.681703999999998,0.7373112,8.680704,120.76580056179773,110.0,0.39172008426966304,0.2032,25365.666666666664,30754.93392431944,-1.2192,0.0,2.0,0.8543477058410645,0.6017260551452637,0.3040888011455536,0.0,47.5904541015625,46.06122589111328
177,3.165266275405884,27.92423439025879,83.56859588623047,1005.5987101600614,-310.7586680446036,408.16397765698576,8.477488,0.4020312000000001,8.476488,119.7878460985257,110.0,0.36818583243437614,0.2032,25051.666666666664,30612.396625298956,2.4384,3.6699567245880003,2.0,0.34477269649505615,0.009606563486158848,0.02515663392841816,1.0,43.88580322265625,42.36923599243164
179,3.1566193103790283,28.16583251953125,83.56859588623047,1014.3312848773979,-309.00863969826304,423.18350796516893,8.468343999999998,0.39288720000000005,8.467343999999999,119.77681785457163,110.0,0.36825428365730745,0.2032,25021.666666666664,30582.396625298956,2.4384,0.0,3.0,0.32997748255729675,0.00034529255935922265,0.02407708764076233,0.6666666666666666,43.88875961303711,42.37318420410156
181,5.105508804321289,15.109832763671875,44.21488571166992,996.8661354427242,-312.50869639094094,393.14444734880175,8.486632,0.4111752000000001,8.485631999999999,119.79885057471263,110.0,0.3681175287356322,0.2032,25081.666666666664,30642.396625298956,2.4384,0.0,3.0,0.3472900390625,0.009606563486158848,0.07694687694311142,0.3333333333333333,43.88405227661133,42.36693572998047
183,3.097017526626587,12.677456855773926,80.16757202148438,1042.3941780070597,-330.83700836172164,509.1320733472678,8.404335999999999,0.45689520000000006,8.403336,119.69894813202755,110.0,0.36873761334784194,0.2032,24811.666666666664,30372.396625298956,3.3528000000000002,0.0,3.0,0.31716039776802063,0.00034529255935922265,0.018421022221446037,0.0,42.992313385009766,41.43882751464844
184,3.099391460418701,11.03503704071045,46.3205451965332,1241.040770491472,-380.7648210222039,497.30844457083435,8.59023352,0.64279272,8.58923352,119.92189468379942,110.0,0.3651548685410523,0.2032,25726.516666666663,31287.246625298954,4.8768,0.0,2.0,0.8298633098602295,0.44924867153167725,0.03726257383823395,0.0,41.131595611572266,39.401023864746094
185,3.0921056270599365,11.024785041809082,46.315460205078125,1208.3684067121792,-372.3982005121118,500.24684820609895,8.559784,0.6123432,8.558784,119.88603988603987,110.0,0.36573105413105417,0.2032,25576.666666666664,31137.396625298956,4.8768,1.61826353766,3.0,0.6258489489555359,0.2034474015235901,0.02541867084801197,0.0,41.34232711791992,39.58424377441406
187,2.759244680404663,8.369929313659668,24.642717361450195,755.2536731408525,-263.17510148237454,585.1318629790732,8.145256,1.0207752,8.144255999999999,119.37125748502993,110.0,0.3688703592814372,0.2032,24211.666666666664,29772.396625298956,3.81,0.0,3.0,0.4879484176635742,0.04271605610847473,0.02096271701157093,0.3333333333333333,42.764892578125,40.79935073852539
189,2.818610191345215,8.269238471984863,22.620378494262695,599.4611617088499,-230.1989034998488,590.9066015030509,7.992856,0.8683752,7.991855999999999,119.16857360793286,110.0,0.3720295957284516,0.2032,23461.666666666664,29022.396625298956,1.2192,6.808693995488,4.0,0.2787858843803406,0.008160085417330265,0.018006015568971634,0.5,45.36323928833008,43.57223892211914
191,2.3298912048339844,8.352703094482422,24.679059982299805,-46.4766245450925,-56.98272571532371,737.3344999349094,7.4198319999999995,1.7583912,7.418831999999999,118.33196384552178,110.0,0.3772223500410846,0.2032,21581.666666666664,27142.396625298952,7.62,5.16708708516,3.0,0.2880585491657257,0.008483617566525936,0.021018436178565025,0.3333333333333333,39.469722747802734,36.996883392333984
193,2.4100685119628906,8.584712028503418,22.755281448364258,-186.77506631328592,-47.74274096155307,730.6637902274111,7.261335999999999,1.5998952,7.260336,118.07724601175484,110.0,0.3788033585222502,0.2032,21061.666666666664,26622.396625298952,5.486400000000001,4.498961905284001,4.0,0.27897241711616516,0.0018106322968378663,0.020355461165308952,0.5,41.61207580566406,39.17877960205078
195,2.6900877952575684,8.39345645904541,25.88421058654785,-148.6505399510703,10.06411681700784,778.6352354676999,7.371064,1.7096232,7.370063999999999,118.25475599669149,110.0,0.37770157154673284,0.2032,21421.666666666664,26982.396625298952,4.7244,0.0,2.0,0.20786622166633606,0.038262978196144104,0.009333622641861439,1.0,42.37679672241211,39.96406555175781
197,2.1671440601348877,9.106125831604004,26.00989532470703,-229.93150708951632,93.94373282909542,849.4001842895005,7.349727999999999,2.1089112,7.3487279999999995,118.2206553297387,110.0,0.38634126918291173,0.2032,20351.666666666664,25912.396625298952,7.010400000000001,1.0750569466559998,2.0,0.4051005244255066,0.026689961552619934,0.02955850586295128,0.0,40.36494827270508,37.585472106933594
199,5.493669509887695,9.640318870544434,25.983779907226562,2126.514683143239,-790.0696387817682,-356.96085417526933,9.900903999999999,1.9565112000000002,9.899904000000001,123.25769704433495,110.0,0.41855258620689656,0.2032,27365.666666666664,32306.078686153174,-0.6096,7.527922234448,3.0,0.7098689079284668,0.03607706353068352,0.2000419646501541,0.0,45.30402755737305,43.7504768371582
201,5.543261528015137,9.776164054870605,25.37912940979004,2330.7827839195384,-843.6283683520861,-403.74761801361313,10.092927999999999,2.1485352000000004,10.091928,123.59528843249772,110.0,0.42218773784355185,0.2032,27680.666666666664,32550.383986141987,0.030480000000000004,2.8144536614040003,3.0,0.6910081505775452,0.02730441652238369,0.19380144774913788,0.3333333333333333,44.42399978637695,42.87627029418945
203,5.5530195236206055,9.80245304107666,25.28205680847168,2357.362932681868,-840.3281966459394,-401.5670202847374,10.129503999999997,2.1851112,10.128504,123.61841709298825,110.0,0.4228645200120374,0.2032,27740.666666666664,32610.383986141987,0.6096,0.0630901964,1.0,0.9752213954925537,0.9442018866539001,0.2846314311027527,0.0,43.793277740478516,42.24622344970703
204,2.7688257694244385,8.404557228088379,24.674842834472656,787.8251655933736,-271.4284177784668,582.6414330360232,8.17570552,1.0162032,8.17470552,119.41084791516745,110.0,0.36825326268927183,0.2032,24361.516666666663,29922.246625298954,6.4008,0.0,2.0,0.6160826683044434,0.2410288155078888,0.027663379907608032,0.0,40.0488395690918,38.156333923339844
205,3.8508658409118652,11.274004936218262,50.49305725097656,2544.8315371084736,-805.1832703560889,2.506400640400036,9.97097752,2.02353672,9.96997752,121.31761332196061,110.0,0.35679631181996885,0.2032,30256.516666666663,35817.246625298954,6.4008,4.123575236704,3.0,0.32978543639183044,0.002261336660012603,0.024063073098659515,0.3333333333333333,38.28168869018555,36.72418975830078
206,5.031411647796631,11.253570556640625,40.7772102355957,3026.9890526396175,-954.9322499728504,-161.54676591710296,10.473897520000001,2.4533352,10.47289752,121.73455103187143,110.0,0.3542993920238417,0.2032,31906.516666666663,37467.246625298954,0.3048,0.0,2.0,0.5011243224143982,0.20967626571655273,0.036564964801073074,0.0,43.9591178894043,42.517391204833984
207,4.962764739990234,11.242024421691895,40.18690490722656,2880.911624184225,-917.3749010143766,-138.02457598130238,10.33673752,2.3892967200000004,10.33573752,121.6248647150242,110.0,0.354956271767242,0.2032,31456.516666666663,37017.246625298954,2.7432000000000003,4.377828728196,3.0,0.36501970887184143,0.007875781506299973,0.0266339723020792,0.0,41.660457611083984,40.153343200683594
208,5.099199295043945,11.124028205871582,40.822933197021484,3192.5434715557267,-997.4972454591228,-188.20524784434207,10.629345520000001,2.2978872,10.62834552,121.8554397919122,110.0,0.35357542407635234,0.2032,32416.516666666663,37977.246625298954,4.8768,0.0,2.0,0.5011243224143982,0.20967626571655273,0.036564964801073074,0.0,39.228736877441406,37.861114501953125
209,5.23607063293457,11.110820770263672,41.5005989074707,3479.8290808513293,-1071.360031744124,-234.46555471807872,10.899093520000001,2.0281392,10.89809352,122.05703274236537,110.0,0.35236814198893013,0.2032,33301.51666666668,38862.246625298954,-0.6096,0.054888470868,2.0,0.39127710461616516,0.11753669381141663,0.036535609513521194,0.0,44.4403076171875,43.2012825012207
211,5.568765640258789,11.045329093933105,44.9029655456543,3872.6150551424935,-1172.3475700546892,-297.7141098787839,11.267901519999999,1.6593312,11.26690152,122.31703589080452,110.0,0.35413680762020183,0.2032,34209.01666666668,39769.746625298954,2.1336,0.546992002788,3.0,0.2206801027059555,0.02050943672657013,0.024142486974596977,0.0,41.60482406616211,40.310577392578125
213,6.125848293304443,10.631174087524414,25.049381256103516,4172.504139957182,-1231.2204786565137,-330.02836426896243,11.56965352,1.9366992,11.56865352,122.51743516647389,110.0,0.3555000192333533,0.2032,34951.51666666668,40512.246625298954,2.1336,0.879477337816,3.0,0.13575555384159088,0.044605668634176254,0.012104940600693226,0.0,41.58394241333008,40.26264953613281
215,9.40564250946045,16.507944107055664,47.446266174316406,5453.940400489788,-1467.6323145657045,-454.6300328142527,12.875721519999999,3.2427672000000003,12.87472152,123.27649923413645,110.0,0.3606635356617795,0.2032,38165.26666666668,43725.996625298954,2.1336,5.816285206116,2.0,0.06993453949689865,0.027498064562678337,0.009071704000234604,0.0,41.54253005981445,40.145851135253906
217,12.252806663513184,19.7457275390625,49.69004821777344,5950.366116355389,-1559.2177632493126,-502.9004575015805,13.38168952,3.7487352,13.38068952,123.530736972066,110.0,0.36239298221636035,0.2032,39410.26666666668,44970.996625298954,1.8288000000000002,1.5280445568079999,3.0,0.03170551732182503,0.012617027387022972,0.0034293446224182844,0.0,41.84305953979492,40.4386100769043
219,56.17985534667969,25.991912841796875,56.17985534667969,6561.076259952749,-1669.9202456826906,-560.342212050396,14.00652952,4.3735752,14.00552952,123.81935542841225,110.0,0.36208992141441,0.2032,41167.40952380953,46728.13948244181,1.2192,2.6068869152480003,1.0,0.02807524800300598,0.016799213364720345,0.0027882829308509827,0.0,42.4501838684082,41.04123306274414
225,56.90931701660156,26.2200927734375,56.90931701660156,6414.487352264973,-1642.8464346835449,-546.0368805366747,13.857177519999999,4.2242232,13.85617752,123.75273592770772,110.0,0.36041662388170675,0.2032,40970.26666666668,46530.996625298954,2.4384,1.43845647792,1.0,0.02108587883412838,0.012617027387022972,0.0015385490842163563,0.0,41.23213195800781,39.82526779174805
229,7.017510890960693,10.373869895935059,27.586841583251953,4757.883289611461,-1363.388424115958,-405.117733920674,12.14267752,1.2661391999999998,12.14167752,122.87057329125966,110.0,0.3485673035453835,0.2032,37474.01666666668,43034.746625298954,3.2004,4.049128804952001,3.0,0.08424261957406998,0.003206751774996519,0.002937865676358342,0.3333333333333333,40.35884475708008,39.022605895996094
231,22.606164932250977,23.559356689453125,56.218360900878906,5337.186500666629,-1466.8029401559709,-455.38726850289135,12.74008552,1.8635472,12.739085519999998,123.20491256110195,110.0,0.3465148063519711,0.2032,39434.01666666668,44994.746625298954,1.524,1.039726436672,1.0,0.01524102222174406,0.009119675494730473,0.001112074125558138,0.0,42.03432846069336,40.69643020629883
237,6.282037258148193,10.749272346496582,41.6265754699707,4504.319860415259,-1300.8127166531776,-366.42283604946795,11.90188552,1.0253472,11.90088552,122.72632277198814,110.0,0.3515085370944732,0.2032,36289.01666666668,41849.746625298954,4.2672,0.9848379658040001,3.0,0.17894814908504486,0.003206751774996519,0.01214183121919632,0.3333333333333333,39.29201126098633,37.97705078125
239,6.427762508392334,12.41242504119873,59.330055236816406,4657.924742782214,-1330.9037049277147,-382.08110989446874,12.05733352,0.8698992,12.05633352,122.8201057264713,110.0,0.35090630187410404,0.2032,36799.01666666668,42359.746625298954,3.9624,2.8144536614040003,3.0,0.14569832384586334,0.006980449426919222,0.01063100341707468,0.0,39.55179977416992,38.25422668457031
241,6.459712982177734,14.558747291564941,108.85331726074219,4668.32817235997,-1332.8177045767206,-383.029805052254,12.06800152,0.8714232,12.06700152,122.82645321155142,110.0,0.35086554095867883,0.2032,36834.01666666668,42394.746625298954,3.9624,0.0,3.0,0.06384773552417755,0.002401662291958928,0.003847344545647502,0.0,39.55139923095703,38.254066467285156
